Название товара|Артикул|Параметр|Значение параметра
Электросоединитель изолированный М4 0,5-1 мм, красный| 05589011|Номинальное напряжение, макс.|600 В перем. тока
Электросоединитель изолированный М4 0,5-1 мм, красный| 05589011|Материал|Медь
Электросоединитель изолированный М4 0,5-1 мм, красный| 05589011|Поверхность|Оцинковка
Электросоединитель изолированный М4 1,5-2,5 мм, синий| 05589082|ШтрихКод|4011231468060
Электросоединитель изолированный М4 1,5-2,5 мм, синий| 05589082|Артикул|05589082
Электросоединитель изолированный М4 1,5-2,5 мм, синий| 05589082|Сечение проволоки, мин./макс.|1.5-2.5 мм2
Электросоединитель изолированный М4 1,5-2,5 мм, синий| 05589082|Цвет|Синий
Электросоединитель изолированный М4 1,5-2,5 мм, синий| 05589082|Температурный диапазон применения, мин./макс.|-10 ­ 75 °C
Электросоединитель изолированный М4 1,5-2,5 мм, синий| 05589082|Отверстие фланца|M4
Электросоединитель изолированный М4 1,5-2,5 мм, синий| 05589082|Номинальное напряжение, макс.|600 В перем. тока
Электросоединитель изолированный М4 1,5-2,5 мм, синий| 05589082|Материал|Медь
Электросоединитель изолированный М4 1,5-2,5 мм, синий| 05589082|Поверхность|Оцинковка
Электросоединитель изолированный М5 1,5-2,5 мм, синий| 05589092|ШтрихКод|4011231468114
Электросоединитель изолированный М5 1,5-2,5 мм, синий| 05589092|Артикул|05589092
Электросоединитель изолированный М5 1,5-2,5 мм, синий| 05589092|Сечение проволоки, мин./макс.|1.5-2.5 мм2
Электросоединитель изолированный М5 1,5-2,5 мм, синий| 05589092|Цвет|Синий
Электросоединитель изолированный М5 1,5-2,5 мм, синий| 05589092|Температурный диапазон применения, мин./макс.|-10 ­ 75 °C
Электросоединитель изолированный М5 1,5-2,5 мм, синий| 05589092|Отверстие фланца|M5
Электросоединитель изолированный М5 1,5-2,5 мм, синий| 05589092|Номинальное напряжение, макс.|600 В перем. тока
Электросоединитель изолированный М5 1,5-2,5 мм, синий| 05589092|Материал|Медь
Электросоединитель изолированный М5 1,5-2,5 мм, синий| 05589092|Поверхность|Оцинковка
Электросоединитель изолированный М6 0,5-1 мм, красный| 05589031|ШтрихКод|4011231467636
Электросоединитель изолированный М6 0,5-1 мм, красный| 05589031|Артикул|05589031
Электросоединитель изолированный М6 0,5-1 мм, красный| 05589031|Сечение проволоки, мин./макс.|0.5-1 мм2
Электросоединитель изолированный М6 0,5-1 мм, красный| 05589031|Цвет|Крас.
Электросоединитель изолированный М6 0,5-1 мм, красный| 05589031|Температурный диапазон применения, мин./макс.|-10 ­ 75 °C
Электросоединитель изолированный М6 0,5-1 мм, красный| 05589031|Отверстие фланца|M6
Электросоединитель изолированный М6 0,5-1 мм, красный| 05589031|Номинальное напряжение, макс.|600 В перем. тока
Электросоединитель изолированный М6 0,5-1 мм, красный| 05589031|Материал|Медь
Электросоединитель изолированный М6 0,5-1 мм, красный| 05589031|Поверхность|Оцинковка
Электросоединитель изолированный М6 1,5-2,5 мм, синий| 05589102|ШтрихКод|4011231468169
Электросоединитель изолированный М6 1,5-2,5 мм, синий| 05589102|Артикул|05589102
Электросоединитель изолированный М6 1,5-2,5 мм, синий| 05589102|Сечение проволоки, мин./макс.|1.5-2.5 мм2
Электросоединитель изолированный М6 1,5-2,5 мм, синий| 05589102|Цвет|Синий
Электросоединитель изолированный М6 1,5-2,5 мм, синий| 05589102|Температурный диапазон применения, мин./макс.|-10 ­ 75 °C
Электросоединитель изолированный М6 1,5-2,5 мм, синий| 05589102|Отверстие фланца|M6
Электросоединитель изолированный М6 1,5-2,5 мм, синий| 05589102|Номинальное напряжение, макс.|600 В перем. тока
Электросоединитель изолированный М6 1,5-2,5 мм, синий| 05589102|Материал|Медь
Электросоединитель изолированный М6 1,5-2,5 мм, синий| 05589102|Поверхность|Оцинковка
Электросоединитель изолированный М6 4,0-6,0 мм, желтый| 05589164|ШтрихКод|4011231468411
Электросоединитель изолированный М6 4,0-6,0 мм, желтый| 05589164|Артикул|05589164
Электросоединитель изолированный М6 4,0-6,0 мм, желтый| 05589164|Сечение проволоки, мин./макс.|4-6 мм2
Электросоединитель изолированный М6 4,0-6,0 мм, желтый| 05589164|Цвет|Желт.
Электросоединитель изолированный М6 4,0-6,0 мм, желтый| 05589164|Температурный диапазон применения, мин./макс.|-10 ­ 75 °C
Электросоединитель изолированный М6 4,0-6,0 мм, желтый| 05589164|Отверстие фланца|M6
Электросоединитель изолированный М6 4,0-6,0 мм, желтый| 05589164|Номинальное напряжение, макс.|600 В перем. тока
Электросоединитель изолированный М6 4,0-6,0 мм, желтый| 05589164|Материал|Медь
Электросоединитель изолированный М6 4,0-6,0 мм, желтый| 05589164|Поверхность|Оцинковка
Электросоединитель изолированный М8 4,0-6,0 мм, желтый| 05589174|ШтрихКод|4011231468459
Электросоединитель изолированный М8 4,0-6,0 мм, желтый| 05589174|Артикул|05589174
Электросоединитель изолированный М8 4,0-6,0 мм, желтый| 05589174|Сечение проволоки, мин./макс.|4-6 мм2
Электросоединитель изолированный М8 4,0-6,0 мм, желтый| 05589174|Цвет|Желт.
Электросоединитель изолированный М8 4,0-6,0 мм, желтый| 05589174|Температурный диапазон применения, мин./макс.|-10 ­ 75 °C
Электросоединитель изолированный М8 4,0-6,0 мм, желтый| 05589174|Отверстие фланца|M8
Электросоединитель изолированный М8 4,0-6,0 мм, желтый| 05589174|Номинальное напряжение, макс.|600 В перем. тока
Электросоединитель изолированный М8 4,0-6,0 мм, желтый| 05589174|Материал|Медь
Электросоединитель изолированный М8 4,0-6,0 мм, желтый| 05589174|Поверхность|Оцинковка
Электросоединитель неизолированный внутренний 6,3X0,8-(1,5-2,5QMM)| 05585054|ШтрихКод|4024835282444
Электросоединитель неизолированный внутренний 6,3X0,8-(1,5-2,5QMM)| 05585054|Артикул|05585054
Электросоединитель неизолированный внутренний 6,3X0,8-(1,5-2,5QMM)| 05585054|Сечение проволоки, мин./макс.|1.5-2.5 мм2
Электросоединитель неизолированный внутренний 6,3X0,8-(1,5-2,5QMM)| 05585054|Номинальный размер плоского разъема/втулки/языка|6,3 x 0,8 мм
Электросоединитель неизолированный внутренний 6,3X0,8-(1,5-2,5QMM)| 05585054|Исполнение|Негерметизированный
Электросоединитель неизолированный внутренний 6,3X0,8-(1,5-2,5QMM)| 05585054|Количество фиксирующих язычков|1 шт.
Электросоединитель неизолированный внутренний 6,3X0,8-(1,5-2,5QMM)| 05585054|Материал|Латунь
Электросоединитель неизолированный внутренний 6,3X0,8-(1,5-2,5QMM)| 05585054|Поверхность|ciste
Набор контактов, 530 шт.| 5964558751|ШтрихКод|4058794097528
Набор контактов, 530 шт.| 5964558751|Артикул|5964558751
Электросоединитель (трубка) 0,5-1,5мм , водонепроницаемый, красный| 05555101|ШтрихКод|4046777535716
Электросоединитель (трубка) 0,5-1,5мм , водонепроницаемый, красный| 05555101|Артикул|05555101
Электросоединитель (трубка) 0,5-1,5мм , водонепроницаемый, красный| 05555101|Сечение проволоки, мин./макс.|0.5-1.5 мм2
Электросоединитель (трубка) 0,5-1,5мм , водонепроницаемый, красный| 05555101|Цвет|Крас.
Электросоединитель (трубка) 0,5-1,5мм , водонепроницаемый, красный| 05555101|Электрическая прочность на пробой|30 кВ/мм
Электросоединитель (трубка) 0,5-1,5мм , водонепроницаемый, красный| 05555101|Степень защиты IP|IP 67
Электросоединитель (трубка) 0,5-1,5мм , водонепроницаемый, красный| 05555101|Температурный диапазон применения, мин./макс.|-55 ­ 125 °C
Электросоединитель (трубка) 1,5-2,5мм , водонепроницаемый, синий| 05555102|ШтрихКод|4046777535761
Электросоединитель (трубка) 1,5-2,5мм , водонепроницаемый, синий| 05555102|Артикул|05555102
Электросоединитель (трубка) 1,5-2,5мм , водонепроницаемый, синий| 05555102|Сечение проволоки, мин./макс.|1.5-2.5 мм2
Электросоединитель (трубка) 1,5-2,5мм , водонепроницаемый, синий| 05555102|Цвет|Синий
Электросоединитель (трубка) 1,5-2,5мм , водонепроницаемый, синий| 05555102|Электрическая прочность на пробой|30 кВ/мм
Электросоединитель (трубка) 1,5-2,5мм , водонепроницаемый, синий| 05555102|Степень защиты IP|IP 67
Электросоединитель (трубка) 1,5-2,5мм , водонепроницаемый, синий| 05555102|Температурный диапазон применения, мин./макс.|-55 ­ 125 °C
Электросоединитель (трубка) 4,0-6,0мм , водонепроницаемый, желтый| 05555104|ШтрихКод|4058794281408
Электросоединитель (трубка) 4,0-6,0мм , водонепроницаемый, желтый| 05555104|Артикул|05555104
Электросоединитель (трубка) 4,0-6,0мм , водонепроницаемый, желтый| 05555104|Сечение проволоки, мин./макс.|4-6 мм2
Электросоединитель (трубка) 4,0-6,0мм , водонепроницаемый, желтый| 05555104|Цвет|Желт.
Электросоединитель (трубка) 4,0-6,0мм , водонепроницаемый, желтый| 05555104|Электрическая прочность на пробой|30 кВ/мм
Электросоединитель (трубка) 4,0-6,0мм , водонепроницаемый, желтый| 05555104|Степень защиты IP|IP 67
Электросоединитель (трубка) 4,0-6,0мм , водонепроницаемый, желтый| 05555104|Температурный диапазон применения, мин./макс.|-55 ­ 125 °C
Штекерный разъем WADI мама 3 контакта| 05551033|ШтрихКод|4046778837246
Штекерный разъем WADI мама 3 контакта| 05551033|Артикул|05551033
Штекерный разъем WADI мама 6 контактов| 05551036|ШтрихКод|4046778837352
Штекерный разъем WADI мама 6 контактов| 05551036|Артикул|05551036
Штекерный разъем WADI мама 5 контактов| 05551035|ШтрихКод|4046778837321
Штекерный разъем WADI мама 5 контактов| 05551035|Артикул|05551035
Штекерный разъем WADI мама 1 контакт| 05551031|ШтрихКод|4046778837130
Штекерный разъем WADI мама 1 контакт| 05551031|Артикул|05551031
Штекерный разъем WADI папа 3 контакта| 05551023|ШтрихКод|4046778837239
Штекерный разъем WADI папа 3 контакта| 05551023|Артикул|05551023
Штекерный разъем WADI папа 6 контактов| 05551026|ШтрихКод|4046778837338
Штекерный разъем WADI папа 6 контактов| 05551026|Артикул|05551026
Штекерный разъем WADI папа 5 контактов| 05551025|ШтрихКод|4046778837277
Штекерный разъем WADI папа 5 контактов| 05551025|Артикул|05551025
Штекерный разъем WADI папа 1 контакт| 05551021|ШтрихКод|4046778837123
Штекерный разъем WADI папа 1 контакт| 05551021|Артикул|05551021
Штекерный разъем WADI мама 2 контакта| 05551032|ШтрихКод|4046778837215
Штекерный разъем WADI мама 2 контакта| 05551032|Артикул|05551032
Штекерный разъем WADI мама 4 контакта| 05551034|ШтрихКод|4046778837260
Штекерный разъем WADI мама 4 контакта| 05551034|Артикул|05551034
Штекерный разъем WADI папа 4 контакта| 05551024|ШтрихКод|4046778837253
Штекерный разъем WADI папа 4 контакта| 05551024|Артикул|05551024
Штекерный разъем WADI папа 2 контакта| 05551022|ШтрихКод|4046778837208
Штекерный разъем WADI папа 2 контакта| 05551022|Артикул|05551022
Газ в баллоне для газовой горелки| 098490002|ШтрихКод|4038898287308
Газ в баллоне для газовой горелки| 098490002|Артикул|098490002
Газ в баллоне для газовой горелки| 098490002|Содержание|175 гр
Бутан-газ для газовых паяльников| 0893250001|ШтрихКод|4056807306292
Бутан-газ для газовых паяльников| 0893250001|Артикул|0893250001
Бутан-газ для газовых паяльников| 0893250001|Содержание|100 мл
Бутан-газ для газовых паяльников| 0893250001|Цвет|Бесцветный
Бутан-газ для газовых паяльников| 0893250001|Запах/аромат|Без запаха
Бутан-газ для газовых паяльников| 0893250001|Химическая основа|Бутан
Газовый паяльник в наборе WGLG100| 0984990100|ШтрихКод|4045727151044
Газовый паяльник в наборе WGLG100| 0984990100|Артикул|0984990100
Газовый паяльник в наборе WGLG100| 0984990100|Мощность|30-100Вт
Газовый паяльник в наборе WGLG100| 0984990100|Продолжительность работы|120 мин
Аккумуляторный паяльник BSI 30W| 57026240|ШтрихКод|8605021389848
Аккумуляторный паяльник BSI 30W| 57026240|Артикул|57026240
Цанга для снятия изоляции| 0691501|ШтрихКод|4050641390950
Цанга для снятия изоляции| 0691501|Артикул|0691501
Цанга для снятия изоляции| 0691501|Сечение проволоки, мин./макс.|0.2-6 мм2
Цанга для снятия изоляции| 0691501|Американское сечение проводов (AWG), мин./макс. (AWG)|10-23
Цанга для снятия изоляции| 0691501|Длина (L)|200 мм
Цанга для снятия изоляции| 0691501|Материал|Пластмасса
Термоусадочный шланг 4.8/2.4 мм.| 07718048|ШтрихКод|4011231771757
Термоусадочный шланг 4.8/2.4 мм.| 07718048|Артикул|07718048
Термоусадочный шланг 4.8/2.4 мм.| 07718048|Цвет|Черный цвет
Термоусадочный шланг 4.8/2.4 мм.| 07718048|Диаметр|4,8 мм
Термоусадочный шланг 4.8/2.4 мм.| 07718048|Диаметр (с усадкой)|2,4 мм
Термоусадочный шланг 4.8/2.4 мм.| 07718048|Толщина стенки с усадкой|0,43 мм
Термоусадочный шланг 4.8/2.4 мм.| 07718048|Электрическая прочность на пробой|20 кВ/мм
Термоусадочный шланг 4.8/2.4 мм.| 07718048|Температурный диапазон применения, мин./макс.|-55 ­ 135 °C
Термоусадочный шланг 6.4/3.2 мм.| 07718064|ШтрихКод|4011231771795
Термоусадочный шланг 6.4/3.2 мм.| 07718064|Артикул|07718064
Термоусадочный шланг 6.4/3.2 мм.| 07718064|Цвет|Черный цвет
Термоусадочный шланг 6.4/3.2 мм.| 07718064|Диаметр|6,4 мм
Термоусадочный шланг 6.4/3.2 мм.| 07718064|Диаметр (с усадкой)|3,2 мм
Термоусадочный шланг 6.4/3.2 мм.| 07718064|Толщина стенки с усадкой|0,56 мм
Термоусадочный шланг 6.4/3.2 мм.| 07718064|Электрическая прочность на пробой|20 кВ/мм
Термоусадочный шланг 6.4/3.2 мм.| 07718064|Температурный диапазон применения, мин./макс.|-55 ­ 135 °C
Термоусадочный шланг 2.4/1.2 мм.| 07718024|ШтрихКод|4011231771696
Термоусадочный шланг 2.4/1.2 мм.| 07718024|Артикул|07718024
Термоусадочный шланг 2.4/1.2 мм.| 07718024|Цвет|Черный цвет
Термоусадочный шланг 2.4/1.2 мм.| 07718024|Диаметр|2,4 мм
Термоусадочный шланг 2.4/1.2 мм.| 07718024|Диаметр (с усадкой)|1,2 мм
Термоусадочный шланг 2.4/1.2 мм.| 07718024|Толщина стенки с усадкой|0,43 мм
Термоусадочный шланг 2.4/1.2 мм.| 07718024|Электрическая прочность на пробой|20 кВ/мм
Термоусадочный шланг 2.4/1.2 мм.| 07718024|Температурный диапазон применения, мин./макс.|-55 ­ 135 °C
Термоусадочный шланг 9.5/4.8мм| 07718095|ШтрихКод|4011231771818
Термоусадочный шланг 9.5/4.8мм| 07718095|Артикул|07718095
Термоусадочный шланг 9.5/4.8мм| 07718095|Цвет|Черный цвет
Термоусадочный шланг 9.5/4.8мм| 07718095|Диаметр|9,5 мм
Термоусадочный шланг 9.5/4.8мм| 07718095|Диаметр (с усадкой)|4,8 мм
Термоусадочный шланг 9.5/4.8мм| 07718095|Толщина стенки с усадкой|0,56 мм
Термоусадочный шланг 9.5/4.8мм| 07718095|Электрическая прочность на пробой|20 кВ/мм
Термоусадочный шланг 9.5/4.8мм| 07718095|Температурный диапазон применения, мин./макс.|-55 ­ 135 °C
Термоусадочный шланг 9.5/4.8мм| 07718095|Материал|Полиолефин
Трубка термоусадочная с клеем, серая, 1м, 12,0-4,0MM| 0771012701|ШтрихКод|4047376660786
Трубка термоусадочная с клеем, серая, 1м, 12,0-4,0MM| 0771012701|Артикул|0771012701
Трубка термоусадочная с клеем, серая, 1м, 12,0-4,0MM| 0771012701|Цвет|Серый цвет
Трубка термоусадочная с клеем, серая, 1м, 12,0-4,0MM| 0771012701|Диаметр|12 мм
Трубка термоусадочная с клеем, серая, 1м, 12,0-4,0MM| 0771012701|Диаметр (с усадкой)|4 мм
Трубка термоусадочная с клеем, серая, 1м, 12,0-4,0MM| 0771012701|Длина|1000 мм
Трубка термоусадочная с клеем, серая, 1м, 12,0-4,0MM| 0771012701|Толщина стенки с усадкой|1,35 мм
Трубка термоусадочная с клеем, серая, 1м, 12,0-4,0MM| 0771012701|Электрическая прочность на пробой|20 кВ/мм
Трубка термоусадочная с клеем, серая, 1м, 12,0-4,0MM| 0771012701|Температурный диапазон применения, мин./макс.|-55 ­ 85 °C
Трубка термоусадочная с клеем, серая, 1м, 3,0-1,0MM| 0771003201|ШтрихКод|4047376660762
Трубка термоусадочная с клеем, серая, 1м, 3,0-1,0MM| 0771003201|Артикул|0771003201
Трубка термоусадочная с клеем, серая, 1м, 3,0-1,0MM| 0771003201|Цвет|Серый цвет
Трубка термоусадочная с клеем, серая, 1м, 3,0-1,0MM| 0771003201|Диаметр|3 мм
Трубка термоусадочная с клеем, серая, 1м, 3,0-1,0MM| 0771003201|Диаметр (с усадкой)|1 мм
Трубка термоусадочная с клеем, серая, 1м, 3,0-1,0MM| 0771003201|Длина|1000 мм
Трубка термоусадочная с клеем, серая, 1м, 3,0-1,0MM| 0771003201|Толщина стенки с усадкой|1 мм
Трубка термоусадочная с клеем, серая, 1м, 3,0-1,0MM| 0771003201|Электрическая прочность на пробой|20 кВ/мм
Трубка термоусадочная с клеем, серая, 1м, 3,0-1,0MM| 0771003201|Температурный диапазон применения, мин./макс.|-55 ­ 85 °C
Трубка термоусадочная с клеем, серая, 1м, 6,0-2,0MM| 0771006401|ШтрихКод|4047376660779
Трубка термоусадочная с клеем, серая, 1м, 6,0-2,0MM| 0771006401|Артикул|0771006401
Трубка термоусадочная с клеем, серая, 1м, 6,0-2,0MM| 0771006401|Цвет|Серый цвет
Трубка термоусадочная с клеем, серая, 1м, 6,0-2,0MM| 0771006401|Диаметр|6 мм
Трубка термоусадочная с клеем, серая, 1м, 6,0-2,0MM| 0771006401|Диаметр (с усадкой)|2 мм
Трубка термоусадочная с клеем, серая, 1м, 6,0-2,0MM| 0771006401|Длина|1000 мм
Трубка термоусадочная с клеем, серая, 1м, 6,0-2,0MM| 0771006401|Толщина стенки с усадкой|1,20 мм
Трубка термоусадочная с клеем, серая, 1м, 6,0-2,0MM| 0771006401|Электрическая прочность на пробой|20 кВ/мм
Трубка термоусадочная с клеем, серая, 1м, 6,0-2,0MM| 0771006401|Температурный диапазон применения, мин./макс.|-55 ­ 85 °C
Самовулканизационная  лента 20KV 19mm/10m| 1985077120|Артикул|1985077120
Самовулканизационная  лента 20KV 19mm/10m| 1985077120|Цвет|Черный цвет
Самовулканизационная  лента 20KV 19mm/10m| 1985077120|Диаметр|19 мм
Самовулканизационная  лента 20KV 19mm/10m| 1985077120|Длина|1000 мм
Самовулканизационная  лента 20KV 19mm/10m| 1985077120|Электрическая прочность на пробой|20 кВ/мм
Самовулканизационная  лента 20KV 19mm/10m| 1985077120|Температурный диапазон применения, мин./макс.|-55 ­ 135 °C
Самовулканизационная  лента 20KV 19mm/10m| 1985077120|Материал|Полиолефин
Трубка термоусадочная с клеем 3,0 - 1,0| 0771003200|ШтрихКод|4045727401972
Трубка термоусадочная с клеем 3,0 - 1,0| 0771003200|Артикул|0771003200
Трубка термоусадочная с клеем 3,0 - 1,0| 0771003200|Цвет|Серый цвет
Трубка термоусадочная с клеем 3,0 - 1,0| 0771003200|Диаметр|3 мм
Трубка термоусадочная с клеем 3,0 - 1,0| 0771003200|Диаметр (с усадкой)|1 мм
Трубка термоусадочная с клеем 3,0 - 1,0| 0771003200|Длина|100 мм
Трубка термоусадочная с клеем 3,0 - 1,0| 0771003200|Толщина стенки с усадкой|1 мм
Трубка термоусадочная с клеем 3,0 - 1,0| 0771003200|Электрическая прочность на пробой|20 кВ/мм
Трубка термоусадочная с клеем 3,0 - 1,0| 0771003200|Температурный диапазон применения, мин./макс.|-55 ­ 85 °C
Защитное средство от окисления контактов 200 мл| 089361|ШтрихКод|4011231891561
Защитное средство от окисления контактов 200 мл| 089361|Артикул|089361
Защитное средство от окисления контактов 200 мл| 089361|Содержание|200 мл
Защитное средство от окисления контактов 200 мл| 089361|Запах/аромат|Характерный
Защитное средство от окисления контактов 200 мл| 089361|Химическая основа|Алифатические углеводороды
Защитное средство от окисления контактов 200 мл| 089361|Плотность|0,767 г/см2
Защитное средство от окисления контактов 200 мл| 089361|Толщина, условия|при 20°C
Спрей  для защиты полюсов аккумулятора 150мл| 0890104|ШтрихКод|4058794928099
Спрей  для защиты полюсов аккумулятора 150мл| 0890104|Артикул|0890104
Спрей  для защиты полюсов аккумулятора 150мл| 0890104|Содержание|150 мл
Спрей  для защиты полюсов аккумулятора 150мл| 0890104|Цвет|Бесцветный
Спрей  для защиты полюсов аккумулятора 150мл| 0890104|Запах/аромат|Характерный
Спрей  для защиты полюсов аккумулятора 150мл| 0890104|Плотность|0.868 г/см2
Спрей  для защиты полюсов аккумулятора 150мл| 0890104|Толщина, условия|при 20°C
Жидкость для обработки контактов (контакт-спрей) 300мл| 0890100|ШтрихКод|4011231893107
Жидкость для обработки контактов (контакт-спрей) 300мл| 0890100|Артикул|0890100
Жидкость для обработки контактов (контакт-спрей) 300мл| 0890100|Содержание|300 мл
Жидкость для обработки контактов (контакт-спрей) 300мл| 0890100|Цвет|Светло-желтый
Жидкость для обработки контактов (контакт-спрей) 300мл| 0890100|Запах/аромат|Характерный
Жидкость для обработки контактов (контакт-спрей) 300мл| 0890100|Химическая основа|Минеральное масло
Жидкость для обработки контактов (контакт-спрей) 300мл| 0890100|Плотность|0,743 г/см2
Жидкость для обработки контактов (контакт-спрей) 300мл| 0890100|Толщина, условия|при 20°C
Лак защитный для контактов, 200 мл| 089370|ШтрихКод|4011231891707
Лак защитный для контактов, 200 мл| 089370|Артикул|089370
Лак защитный для контактов, 200 мл| 089370|Содержание|200 мл
Лак защитный для контактов, 200 мл| 089370|Запах/аромат|Характерный
Лак защитный для контактов, 200 мл| 089370|Плотность|0,839 г/см2
Лак защитный для контактов, 200 мл| 089370|Толщина, условия|при 20°C
Растворитель оксидированного слоя 200 мл| 089360|ШтрихКод|4011231891554
Растворитель оксидированного слоя 200 мл| 089360|Артикул|089360
Растворитель оксидированного слоя 200 мл| 089360|Содержание|200 мл
Растворитель оксидированного слоя 200 мл| 089360|Цвет|Крас.
Растворитель оксидированного слоя 200 мл| 089360|Запах/аромат|Характерный
Растворитель оксидированного слоя 200 мл| 089360|Химическая основа|Минеральное масло
Растворитель оксидированного слоя 200 мл| 089360|Плотность|0,76 г/см2
Растворитель оксидированного слоя 200 мл| 089360|Толщина, условия|при 20°C
Смазка для защиты полюсов аккумулятора 100 мл.| 08901041|ШтрихКод|4045989899104
Смазка для защиты полюсов аккумулятора 100 мл.| 08901041|Артикул|08901041
Смазка для защиты полюсов аккумулятора 100 мл.| 08901041|Содержание|100 мл
Смазка для защиты полюсов аккумулятора 100 мл.| 08901041|Цвет|Красный
Смазка для защиты полюсов аккумулятора 100 мл.| 08901041|Запах/аромат|Характерный
Смазка для защиты полюсов аккумулятора 100 мл.| 08901041|Плотность|0.93 г/см2
Смазка для защиты полюсов аккумулятора 100 мл.| 08901041|Толщина, условия|при 20°C
Хомут полиамидный белый 3.6х140| 050212|ШтрихКод|4011231433891
Хомут полиамидный белый 3.6х140| 050212|Артикул|050212
Хомут полиамидный белый 3.6х140| 050212|Материал|Полиамид — PA 6.6
Хомут полиамидный белый 3.6х140| 050212|Цвет|Белый
Хомут полиамидный белый 3.6х140| 050212|Ширина|3,6 мм
Хомут полиамидный белый 3.6х140| 050212|Длина|140 мм
Хомут полиамидный белый 3.6х140| 050212|Диаметр пучка, мин./макс.|1.6-30 мм
Хомут полиамидный белый 3.6х140| 050212|Термостойкость, мин./макс.|-40 ­ 85 °C
Хомут полиамидный белый 2.5х100| 050211|ШтрихКод|4011231433761
Хомут полиамидный белый 2.5х100| 050211|Артикул|050211
Хомут полиамидный белый 2.5х100| 050211|Материал|Полиамид — PA 6.6
Хомут полиамидный белый 2.5х100| 050211|Цвет|Белый
Хомут полиамидный белый 2.5х100| 050211|Ширина|2,5 мм
Хомут полиамидный белый 2.5х100| 050211|Длина|100 мм
Хомут полиамидный белый 2.5х100| 050211|Диаметр пучка, мин./макс.|1.6-20 мм
Хомут полиамидный белый 2.5х100| 050211|Термостойкость, мин./макс.|-40 ­ 85 °C
Хомут полиамидный белый 3.6х200| 050213|ШтрихКод|4011231433952
Хомут полиамидный белый 3.6х200| 050213|Артикул|050213
Хомут полиамидный белый 3.6х200| 050213|Материал|Полиамид — PA 6.6
Хомут полиамидный белый 3.6х200| 050213|Цвет|Белый
Хомут полиамидный белый 3.6х200| 050213|Ширина|3,6 мм
Хомут полиамидный белый 3.6х200| 050213|Длина|200 мм
Хомут полиамидный белый 3.6х200| 050213|Диаметр пучка, мин./макс.|1.6-40 мм
Хомут полиамидный белый 3.6х200| 050213|Термостойкость, мин./макс.|-40 ­ 85 °C
Хомут полиамидный белый 3.6х280| 0502135|ШтрихКод|4045989229055
Хомут полиамидный белый 3.6х280| 0502135|Артикул|0502135
Хомут полиамидный белый 3.6х280| 0502135|Материал|Полиамид — PA 6.6
Хомут полиамидный белый 3.6х280| 0502135|Цвет|Белый
Хомут полиамидный белый 3.6х280| 0502135|Ширина|3,6 мм
Хомут полиамидный белый 3.6х280| 0502135|Длина|280 мм
Хомут полиамидный белый 3.6х280| 0502135|Диаметр пучка, мин./макс.|1.6-75 мм
Хомут полиамидный белый 3.6х280| 0502135|Термостойкость, мин./макс.|-40 ­ 85 °C
Хомут полиамидный белый 4.8х280| 050215|ШтрихКод|4011231434119
Хомут полиамидный белый 4.8х280| 050215|Артикул|050215
Хомут полиамидный белый 4.8х280| 050215|Материал|Полиамид — PA 6.6
Хомут полиамидный белый 4.8х280| 050215|Цвет|Белый
Хомут полиамидный белый 4.8х280| 050215|Ширина|4,8 мм
Хомут полиамидный белый 4.8х280| 050215|Длина|280 мм
Хомут полиамидный белый 4.8х280| 050215|Диаметр пучка, мин./макс.|1.6-75 мм
Хомут полиамидный белый 4.8х280| 050215|Термостойкость, мин./макс.|-40 ­ 85 °C
Хомут полиамидный белый 4.8х360| 050216|ШтрихКод|4011231434157
Хомут полиамидный белый 4.8х360| 050216|Артикул|050216
Хомут полиамидный белый 4.8х360| 050216|Материал|Полиамид — PA 6.6
Хомут полиамидный белый 4.8х360| 050216|Цвет|Белый
Хомут полиамидный белый 4.8х360| 050216|Ширина|4,8 мм
Хомут полиамидный белый 4.8х360| 050216|Длина|360 мм
Хомут полиамидный белый 4.8х360| 050216|Диаметр пучка, мин./макс.|1.6-100 мм
Хомут полиамидный белый 4.8х360| 050216|Термостойкость, мин./макс.|-40 ­ 85 °C
Хомут полиамидный черный 2.5х100| 0502111|ШтрихКод|4038898287438
Хомут полиамидный черный 2.5х100| 0502111|Артикул|0502111
Хомут полиамидный черный 2.5х100| 0502111|Материал|Полиамид — PA 6.6
Хомут полиамидный черный 2.5х100| 0502111|Цвет|Черный
Хомут полиамидный черный 2.5х100| 0502111|Ширина|2,5 мм
Хомут полиамидный черный 2.5х100| 0502111|Длина|100 мм
Хомут полиамидный черный 2.5х100| 0502111|Диаметр пучка, мин./макс.|1.6-20 мм
Хомут полиамидный черный 2.5х100| 0502111|Термостойкость, мин./макс.|-40 ­ 85 °C
Хомут полиамидный черный 3.6х140| 0502121|ШтрихКод|4038898287445
Хомут полиамидный черный 3.6х140| 0502121|Артикул|0502121
Хомут полиамидный черный 3.6х140| 0502121|Материал|Полиамид — PA 6.6
Хомут полиамидный черный 3.6х140| 0502121|Цвет|Черный
Хомут полиамидный черный 3.6х140| 0502121|Ширина|3,6 мм
Хомут полиамидный черный 3.6х140| 0502121|Длина|140 мм
Хомут полиамидный черный 3.6х140| 0502121|Диаметр пучка, мин./макс.|1.6-30 мм
Хомут полиамидный черный 3.6х140| 0502121|Термостойкость, мин./макс.|-40 ­ 85 °C
Хомут полиамидный черный 3.6х200| 0502131|ШтрихКод|4011231433983
